Time Entered (hr), Time Spend (min), Rushing, Senior
5.15,50.08,Senior,true
1.03,41.79,Normal,false
11.02,20.45,Dinner,false
10.82,70.35,Normal,false
13.35,18.4,Normal,false
13.69,69.0,Normal,false
5.09,56.58,Senior,true
11.86,30.26,Normal,false
11.41,13.51,Normal,false
6.13,13.33,Lunch,false
5.11,58.65,Senior,true
6.02,9.13,Lunch,false
4.7,59.79,Senior,true
4.92,57.76,Senior,true
14.53,0.47,Normal,false
3.07,26.14,Normal,false
6.86,6.43,Lunch,false
6.64,37.05,Normal,false
6.56,7.2,Lunch,false
4.22,45.19,Senior,true
7.95,35.15,Normal,false
6.14,11.97,Lunch,false
8.87,16.58,Normal,false
13.05,15.82,Normal,false
0.51,21.88,Normal,false
6.56,7.17,Normal,false
4.8,57.72,Senior,true
4.46,59.86,Senior,true
5.09,56.99,Senior,true
11.08,18.92,Dinner,false
7.18,50.51,Normal,false
14.69,0.31,Normal,false
4.48,56.88,Senior,true
5.3,59.44,Senior,true
13.16,50.13,Normal,false
5.93,51.94,Senior,true
13.58,53.24,Normal,false
2.78,12.79,Normal,false
13.18,37.93,Normal,false
4.69,59.84,Senior,true
6.05,8.03,Normal,false
9.57,14.72,Normal,false
10.7,48.05,Normal,false
6.91,11.44,Lunch,false
6.18,8.32,Lunch,false
5.3,47.28,Senior,true
11.83,48.83,Normal,false
4.48,54.65,Senior,true
4.32,52.04,Senior,true
5.01,49.73,Senior,true
2.81,57.29,Senior,true
12.84,61.19,Normal,false
6.27,7.46,Lunch,false
7.41,23.62,Normal,false
9.21,50.41,Senior,true
2.61,50.78,Senior,true
13.03,15.88,Normal,false
6.33,11.32,Lunch,false
5.56,55.15,Senior,true
13.94,1.06,Normal,false
11.54,21.72,Dinner,false
13.0,49.65,Normal,false
14.5,14.17,Normal,false
5.49,11.86,Normal,false
12.45,18.9,Dinner,false
5.87,58.45,Senior,true
3.56,45.66,Normal,false
8.3,9.85,Normal,false
14.83,0.17,Normal,false
5.81,53.27,Senior,true
6.44,12.53,Lunch,false
6.88,9.15,Lunch,false
4.65,48.46,Senior,true
6.99,34.2,Normal,false
14.35,15.23,Normal,false
8.49,8.31,Normal,false
1.76,54.7,Senior,true
11.98,12.9,Normal,false
14.44,0.56,Normal,false
6.74,9.71,Lunch,true
8.1,66.35,Normal,false
7.67,55.44,Senior,true
5.05,50.13,Senior,true
6.61,22.84,Normal,false
6.76,6.96,Lunch,false
5.81,58.34,Senior,true
1.33,43.61,Normal,false
3.88,35.04,Normal,false
5.35,52.31,Senior,true
11.47,22.3,Dinner,false
12.16,22.51,Dinner,false
7.43,53.65,Senior,true
0.98,53.49,Senior,true
3.35,52.86,Senior,true
5.26,49.92,Senior,true
4.26,52.97,Senior,true
5.32,46.98,Senior,true
9.88,48.26,Senior,true
1.57,48.55,Senior,true
5.09,56.84,Senior,true
6.4,13.77,Lunch,false
6.23,10.22,Lunch,false
7.82,39.63,Normal,false
7.7,54.46,Senior,true
11.11,23.39,Dinner,false
5.01,51.41,Senior,true
12.88,35.19,Normal,false
9.11,35.47,Normal,false
13.07,6.53,Normal,false
3.89,47.86,Senior,true
14.37,15.71,Normal,false
6.61,8.75,Lunch,false
11.55,15.04,Normal,false
1.36,55.93,Senior,true
4.63,52.08,Senior,true
10.05,9.48,Normal,false
11.33,20.91,Dinner,false
13.38,8.62,Normal,false
12.73,11.32,Normal,false
3.91,30.77,Normal,false
4.41,55.63,Senior,true
14.66,14.94,Normal,false
6.77,12.25,Normal,false
0.54,12.3,Normal,false
5.94,45.61,Senior,true
1.95,46.88,Normal,false
12.45,17.85,Dinner,false
0.61,23.03,Normal,false
14.73,0.27,Normal,false
1.86,56.2,Senior,true
9.73,30.33,Normal,false
4.71,45.49,Senior,true
7.12,47.64,Senior,true
11.99,21.78,Dinner,false
8.69,16.02,Normal,false
13.14,14.76,Normal,false
7.07,56.14,Senior,true
11.07,17.9,Dinner,false
4.33,51.89,Senior,true
11.96,18.14,Dinner,false
5.85,46.0,Senior,true
12.59,18.73,Normal,false
4.81,21.46,Normal,false
6.03,12.03,Lunch,false
6.4,8.25,Lunch,false
3.36,24.32,Normal,false
6.26,9.21,Lunch,false
6.33,12.66,Lunch,false
6.13,9.7,Lunch,false
5.77,52.1,Senior,true
9.97,21.33,Normal,false
0.16,47.56,Normal,false
9.5,31.99,Normal,false
9.58,46.39,Senior,true
14.32,0.68,Normal,false
12.96,52.33,Normal,false
5.61,51.99,Senior,true
3.24,33.51,Normal,false
1.03,67.42,Normal,false
12.32,16.37,Dinner,false
4.35,16.54,Normal,false
6.39,11.69,Lunch,false
6.38,6.59,Lunch,false
14.16,13.55,Normal,false
11.4,19.73,Dinner,false
9.83,12.9,Normal,false
1.72,13.7,Normal,false
6.47,20.39,Normal,false
4.4,51.61,Senior,true
6.49,13.68,Lunch,false
6.56,13.76,Lunch,false
8.63,58.42,Normal,false
6.27,9.49,Lunch,false
2.67,7.22,Normal,false
11.85,15.17,Normal,false
6.29,46.2,Senior,true
8.69,53.56,Senior,true
6.57,13.33,Lunch,false
2.6,48.07,Senior,true
4.71,51.6,Senior,true
7.03,56.79,Normal,false
6.99,8.89,Lunch,false
4.3,52.44,Senior,true
11.1,21.51,Dinner,true
4.97,56.49,Senior,true
6.71,12.0,Lunch,false
11.38,20.71,Dinner,false
5.48,51.18,Senior,true
8.67,16.28,Normal,false
5.33,48.7,Senior,true
6.27,10.54,Lunch,false
12.23,33.53,Normal,false
5.09,53.47,Senior,true
14.91,0.09,Normal,false
8.02,52.85,Normal,false
5.9,53.73,Senior,true
0.09,24.18,Normal,false
5.17,48.45,Senior,true
8.48,24.61,Normal,false
14.41,17.85,Normal,false
14.84,0.16,Normal,false
11.73,20.83,Dinner,false
7.62,37.94,Normal,false
12.19,23.64,Dinner,false
6.24,13.09,Lunch,false
6.57,7.87,Lunch,false
12.38,18.03,Dinner,false
4.98,55.79,Senior,true
6.46,8.7,Lunch,false
0.02,54.01,Normal,false
5.81,58.34,Senior,true
5.57,54.01,Senior,true
11.23,16.23,Dinner,false
4.65,46.11,Senior,true
7.72,50.97,Senior,true
13.39,19.27,Normal,false
1.92,57.42,Senior,true
5.2,54.26,Normal,false
5.18,56.52,Senior,true
14.41,0.59,Normal,false
11.59,23.42,Dinner,false
5.11,48.05,Normal,false
6.21,59.96,Senior,true
11.72,21.3,Dinner,true
4.81,48.76,Senior,true
9.51,59.51,Normal,false
12.15,8.15,Normal,false
13.77,18.43,Normal,false
8.29,20.49,Normal,false
4.89,51.57,Senior,true
8.05,33.82,Normal,false
0.6,56.65,Senior,true
4.48,57.87,Senior,true
8.7,72.23,Normal,false
0.24,62.89,Normal,false
12.34,28.38,Normal,false
6.18,12.61,Lunch,false
9.78,48.48,Senior,true
2.45,35.8,Normal,false
10.5,8.17,Normal,false
4.37,49.64,Senior,true
8.24,34.38,Normal,false
1.71,11.22,Normal,false
7.68,15.92,Normal,false
3.07,54.65,Senior,true
12.09,16.61,Dinner,false
12.24,21.0,Dinner,false
5.13,46.1,Senior,true
5.48,46.6,Senior,true
5.1,55.4,Senior,true
4.42,54.81,Senior,true
11.1,20.38,Dinner,false
5.05,47.05,Senior,true
7.73,57.86,Normal,false
11.2,22.48,Dinner,false
4.48,58.77,Senior,true
8.27,73.03,Normal,false
0.93,10.96,Normal,false
14.19,14.66,Normal,false
4.15,59.86,Senior,true
4.59,21.2,Normal,false
4.5,45.3,Senior,true
6.58,31.12,Normal,false
1.56,31.15,Normal,false
13.41,15.51,Normal,false
4.81,54.23,Senior,true
8.75,44.6,Normal,false
3.84,31.77,Normal,false
11.2,22.84,Dinner,false
3.35,51.88,Senior,true
6.12,12.18,Lunch,false
11.15,23.38,Dinner,false
6.07,8.15,Lunch,false
6.01,11.89,Lunch,false
13.0,28.83,Normal,false
4.44,50.16,Senior,true
3.35,54.11,Senior,true
4.51,55.66,Senior,true
13.25,61.97,Normal,false
12.7,18.66,Normal,false
8.07,53.29,Normal,false
2.02,59.28,Normal,false
10.78,54.14,Senior,true
4.72,55.98,Senior,true
5.62,48.97,Senior,true
6.91,6.34,Lunch,false
8.71,51.9,Senior,true
14.88,0.12,Normal,false
4.22,57.09,Senior,true
4.21,50.55,Senior,true
10.7,55.85,Senior,true
6.16,12.69,Lunch,false
5.79,49.65,Senior,true
8.24,47.97,Senior,true
13.09,24.06,Normal,false
6.76,13.05,Lunch,false
14.32,23.48,Normal,false
11.28,22.58,Dinner,false
4.39,52.33,Senior,true
11.01,21.21,Normal,false
3.77,20.69,Normal,false
11.75,20.53,Dinner,false
10.64,57.85,Senior,true
3.54,6.82,Normal,false
11.9,23.78,Dinner,true
4.72,52.71,Senior,true
11.78,20.7,Dinner,false
1.13,56.32,Normal,false
5.56,58.28,Senior,true
12.63,10.97,Normal,false
6.93,27.48,Normal,false
12.69,55.8,Normal,false
5.37,55.34,Senior,true
14.71,15.62,Normal,false
6.32,11.85,Lunch,false
11.7,48.86,Senior,true
2.66,19.64,Normal,false
13.53,12.0,Normal,false
1.43,74.4,Normal,false
1.02,55.9,Senior,true
10.23,9.24,Normal,false
5.72,52.57,Senior,true
10.0,17.88,Normal,false
14.65,0.35,Normal,false
6.95,13.94,Lunch,false
4.96,58.31,Normal,false
8.87,16.51,Normal,false
4.47,54.15,Senior,true
11.1,17.03,Dinner,false
11.43,21.88,Dinner,false
6.32,6.47,Lunch,true
10.4,71.94,Normal,false
8.14,50.52,Normal,false
11.6,22.36,Dinner,false
5.34,46.58,Senior,true
9.71,65.6,Normal,false
5.96,46.83,Senior,true
5.87,55.88,Senior,true
12.69,7.18,Normal,false
3.92,8.16,Normal,false
12.45,12.45,Normal,false
6.48,12.75,Lunch,false
12.34,23.88,Dinner,false
2.08,47.91,Senior,true
5.39,55.74,Senior,true
1.41,10.76,Normal,false
1.58,57.23,Senior,true
5.69,16.94,Normal,false
7.37,21.48,Normal,false
6.13,7.3,Lunch,false
9.83,55.99,Senior,true
4.24,56.9,Senior,true
6.9,22.48,Normal,false
4.41,51.02,Normal,false
13.17,9.02,Normal,false
11.65,17.39,Dinner,false
11.97,16.65,Dinner,false
14.31,28.42,Normal,false
3.55,15.3,Normal,false
13.39,41.41,Normal,false
4.75,55.77,Senior,true
11.09,20.03,Dinner,false
11.63,19.73,Dinner,false
5.76,11.66,Normal,false
4.5,54.11,Senior,true
10.97,37.25,Normal,false
11.04,16.3,Dinner,false
0.63,16.49,Normal,false
14.12,0.88,Normal,false
5.18,53.87,Senior,true
6.94,11.76,Lunch,false
0.84,56.33,Senior,true
13.54,51.93,Normal,false
12.4,21.23,Dinner,false
5.64,55.85,Senior,true
4.69,58.03,Senior,true
4.48,48.41,Senior,true
10.96,20.11,Normal,false
8.16,57.08,Normal,false
4.67,58.97,Senior,true
4.81,59.56,Senior,true
5.69,55.17,Senior,true
9.71,35.76,Normal,false
13.89,27.2,Normal,false
13.47,30.83,Normal,false
12.9,53.07,Normal,false
11.03,21.23,Dinner,false
11.63,17.01,Normal,false
13.98,21.42,Normal,false
6.73,13.91,Lunch,false
0.34,51.02,Senior,true
6.44,13.55,Lunch,false
5.51,46.36,Senior,true
5.23,55.06,Senior,true
0.22,13.52,Normal,false
5.92,54.68,Senior,true
7.09,53.6,Normal,false
1.9,9.96,Normal,false
13.38,22.58,Normal,false
11.74,52.45,Senior,true
0.18,56.5,Senior,true
5.58,56.06,Senior,true
5.2,51.41,Senior,true
9.26,55.69,Normal,false
5.01,55.19,Senior,true
0.01,46.85,Senior,true
7.11,9.97,Normal,false
14.97,0.03,Normal,false
3.86,14.46,Normal,false
4.21,50.49,Senior,true
4.24,52.78,Senior,true
7.99,37.5,Normal,false
11.05,14.81,Normal,false
7.82,6.48,Normal,false
10.89,55.77,Senior,true
4.18,58.37,Senior,true
4.72,17.58,Normal,false
4.12,47.37,Senior,true
5.16,48.41,Senior,true
4.35,46.09,Senior,true
4.5,47.53,Senior,true
6.8,10.95,Lunch,false
5.03,57.7,Senior,true
5.72,58.75,Senior,true
11.76,17.22,Dinner,false
9.49,54.03,Senior,true
9.86,11.47,Normal,false
5.22,46.84,Senior,true
12.04,22.58,Dinner,false
11.37,17.18,Dinner,false
4.09,40.96,Normal,false
11.62,44.68,Normal,false
13.43,24.04,Normal,false
6.42,7.32,Lunch,true
6.72,12.2,Lunch,false
1.13,48.27,Normal,false
5.18,47.29,Senior,true
11.15,17.8,Dinner,false
14.45,0.55,Normal,false
7.05,11.43,Normal,false
5.88,53.11,Senior,true
5.65,47.92,Normal,false
12.21,18.87,Normal,false
14.77,0.23,Normal,false
0.7,51.0,Senior,true
5.61,45.38,Senior,true
4.7,45.24,Senior,true
5.85,49.88,Senior,true
3.06,47.96,Senior,true
9.3,69.54,Normal,false
8.39,8.26,Normal,false
6.99,17.16,Normal,false
4.49,51.99,Senior,true
6.85,8.48,Lunch,false
14.92,0.08,Normal,false
0.47,58.95,Senior,true
11.13,22.08,Dinner,true
3.97,54.67,Senior,true
10.95,40.26,Normal,false
12.3,22.19,Normal,false
5.39,49.34,Senior,true
11.33,20.18,Dinner,false
1.81,68.88,Normal,false
5.93,48.7,Senior,true
4.37,53.98,Senior,true
8.95,55.36,Normal,false
12.55,61.7,Normal,false
5.01,59.11,Senior,true
5.21,46.47,Senior,true
8.41,7.35,Normal,false
6.73,9.2,Lunch,false
11.32,19.91,Dinner,false
14.24,9.9,Normal,false
5.78,57.71,Senior,true
4.05,52.47,Senior,true
6.49,13.2,Lunch,false
11.3,16.77,Dinner,false
13.99,38.74,Normal,false
5.24,51.44,Senior,true
4.3,55.36,Senior,true
10.06,51.39,Senior,true
4.06,52.74,Senior,true
6.31,10.15,Lunch,false
14.23,20.99,Normal,false
5.41,26.08,Normal,false
4.27,28.61,Normal,false
12.92,13.23,Normal,false
14.6,0.4,Normal,false
8.97,27.58,Normal,false
12.09,51.6,Normal,false
14.15,24.46,Normal,false
9.63,12.42,Normal,false
12.44,23.24,Dinner,false
12.29,20.83,Dinner,false
14.58,20.35,Normal,false
3.6,17.04,Normal,false
2.42,16.9,Normal,false
4.53,48.86,Senior,true
8.01,17.36,Normal,false
11.11,18.76,Dinner,false
4.51,58.4,Senior,true
4.32,57.02,Senior,true
4.72,45.18,Senior,true
4.37,58.68,Senior,true
9.55,57.4,Senior,true
12.65,10.39,Normal,false
11.58,23.63,Dinner,false
10.72,23.2,Normal,false
5.24,51.41,Senior,true
11.25,17.36,Dinner,false
4.97,52.92,Senior,true
14.85,0.15,Normal,false
12.42,35.59,Normal,false
6.18,6.14,Lunch,false
5.16,52.41,Senior,true
9.78,40.4,Normal,false
5.94,49.59,Senior,true
5.33,56.51,Senior,true
13.47,50.38,Normal,false
1.63,10.18,Normal,false
6.19,12.73,Lunch,false
13.09,58.11,Normal,false
5.83,50.43,Senior,true
4.57,47.03,Senior,true
12.49,20.92,Dinner,false
11.47,18.72,Dinner,false
14.3,8.12,Normal,false
4.33,55.29,Senior,true
5.41,58.95,Senior,true
5.41,55.62,Senior,true
3.91,52.61,Senior,true
4.85,7.06,Normal,false
6.35,65.6,Normal,false
0.05,19.14,Normal,false
4.58,50.1,Senior,true
10.61,32.79,Normal,false
5.93,59.95,Senior,true
6.45,65.59,Normal,false
4.64,10.9,Normal,false
5.67,55.88,Senior,true
3.0,18.92,Normal,false
4.21,46.13,Senior,true
7.72,38.38,Normal,false
6.46,59.23,Normal,false
4.47,48.81,Senior,true
0.53,59.22,Normal,false
7.21,52.44,Senior,true
14.27,22.93,Normal,false
1.49,24.98,Normal,false
2.65,73.5,Normal,false
11.67,20.9,Dinner,false
10.64,48.14,Senior,true
6.24,8.82,Lunch,false
10.54,30.03,Normal,false
2.94,16.62,Normal,false
10.52,25.52,Normal,false
12.6,27.93,Normal,false
10.29,22.3,Normal,false
9.44,50.89,Senior,true
12.69,72.5,Normal,false
7.52,13.0,Normal,false
4.45,50.91,Senior,true
8.39,52.35,Senior,true
0.46,61.79,Normal,false
10.97,6.78,Normal,false
1.35,56.23,Senior,true
7.39,57.91,Senior,true
4.51,52.76,Senior,true
6.08,6.76,Lunch,false
11.98,17.94,Dinner,false
0.5,48.23,Normal,false
5.63,51.14,Senior,true
12.47,22.55,Dinner,false
5.94,48.74,Senior,true
2.5,26.72,Normal,false
12.8,56.95,Normal,false
5.07,52.86,Senior,true
6.64,56.71,Senior,true
12.09,27.45,Normal,false
14.57,0.43,Normal,false
13.92,20.18,Normal,false
6.87,9.02,Lunch,false
4.94,54.78,Senior,true
14.75,11.89,Normal,false
5.85,48.92,Senior,true
12.14,20.83,Dinner,false
14.45,21.74,Normal,false
6.11,10.62,Lunch,false
12.89,18.7,Normal,false
6.56,7.41,Lunch,true
6.25,7.04,Lunch,false
12.45,11.9,Normal,false
7.64,58.46,Senior,true
11.9,24.14,Normal,false
